Question ID,Fold,Answer,Category,Text,,,,,,,,,,,,,
189284,train,Johann Sebastian Bach,Artea,"Konposatzaile honi errege batek """"Errege Gai"""" baten inguruan inprobisatzeko lana eman zion, gerora Eskaintza Musikala izango zena. ||| Konposatzaile honen beste lan bateko bosgarren zatia klaberako solo birtuoso bat da. ||| Lan hori hiri jakin bateko (*) margravearentzat (Markgraf) idatzia izan zen. ||| 10 punturen truke, esan lan hauek konposatu zituen konposatzaile alemaniarraren izena: organorako Tocata eta Fuga re minorrean, Ondo gozatutako/tenplatutako klabea eta Brandenburg-eko kontzertuak",,,,,,,,,,,,,
122697,train,Fosforoa,Zientzia,Elementu honek bi lotura berri sortzen ditu Arbuzov erreakzioan, eta fluorrarekin lotuta dago Sarin nerbio-agentean. ||| Honen trifenilo-deribatua DEADekin batera erabiltzen da Mitsunobu erreakzioan, eta elementu honen pentabromuroa maiz erabiltzen da erreaktibo gisa axido karboxilikoak azil bromuro bihurtzeko. ||| Elementu honen gorputzeko kantitate gehiena kaltzioa ere baduen apatita izeneko mineral batetik dator. ||| Elementu honen forma alotropikoak dira kate-formako gorria eta zuri tetraedrikoa, eta Wittig erreakzioak elementu honen iluro bat behar du.||| DNAren ondoz ondoko baseak elementu hau duten diester loturaz lotuta daude. ||| 10 punturengatik, esan nitrogenoaren taldekoa den eta P sinboloa duen elementu hau.,,,,,,,,,
104262,train,Pierre Corneille,Literatura,"Idazle honen antzezlan batean, Geronteri esaten diote ezin duela bere semearen ezkontza adostu zeren semea dagoeneko ezkonduta baitago haurdun utzi zuen emakume batekin, baina, azkenean, Lucrece eta Dorante ezkondu egiten dira. ||| Beste antzezlan baten amaieran, Severok Dezio enperadoreari eskatzen dio erlijio-tolerantzia izateko, Paulinaren senarraren matirioaren ondoren. ||| 
Gezurtia obraz eta Erromak kontrolatutako Armenian kokatutako Polieucto obraz gain, Amelia maite duen eta Augusto Cinnan hiltzen saiatzeagatik barkatu zuten pertsonaia bati buruz idatzi zuen, baita epopeia espainiar baten moldaketan, Don Gomes hiltzen duen eta Chimene persegitzen duen heroi bati buruz ere. ||| 10 punturengatik, esan zein den Horacio eta Le Cid obrak idatzi zituen idazle frantses hau.",,,,,,,,,,,,,
117647,train,Hirugaren Gurutzada,Historia,"Gatazka honetan daniar eta frisiar armadek Sancho I.ari lagundu zioten Alvor hartzen, eta 
lehenago Adrianopolis konkistatu zuen armada batek hartu zuen Iconium; hala ere, armada horren bultzada ahuldu egin zen haren buruzagia Salif ibaitik gertu hil zenean. ||| Beste armada batek Ziprera desbideratu behar izan zuen haren buruzagi baten emaztegaia zen Berengaria askatzeko. ||| Azkenean Acren bat eginik, indar erasotzaileek hiria hartu zuten eta bataila handi bat izan zen Arsufen. ||| 10 punturengatik, esan zein den gertaera hauen aldi berekoa den gurutzada hau: Filipe II.ak egindako bakerako saiakerak, Federiko Bizargorriren heriotza eta Rikardo Lehoi Bihotzaren itzulera Ingalaterrara.",,,,,,,,,,,,,
207141,train,Hidrogeno-zubia,Zientzia,Grotthuss mekanismoak esplikatzen du entitate hauek osatzen duten sarean zeharreko protoi-difusioa. Entitate hauen aldaera bortitzena, zeinetan protoi bat bi atomoaren arteko erdigune zehatzean baitago, azido formikoan edo bifloruro ioian dago. ||| Interakzio mota honen aldaera simetrikoa proteinen bigarren mailako egituraren erantzuleak dira, baita hidrogeno fluoruroaren irakite-puntu altuenarena ere. ||| Interakzio hauek oso atomo elektronegatiboak behar dituzte, hala nola, fluorra, nitrogenoa eta oxigenoa, eta izotzak ur likidoak baina dentsitate txikiagoa izatearen eragileak dira. ||| 10 punturengatik, esan ze izen duten ur molekulen arteko dipolo-dipolo interakzio hauek, haien izenean, elementu arinenaren izena ageri da.,,,
190963,train,Nikolai Gogol,Literatura,"Idazle honen nobeletako baten amaieran, Cossack protagonista zuhaitz bati lotu eta bertan bizirik erre egiten da. Beste nobela batean, Manilovek hainbat protagonista saltzen dizkio Chichicovi. ||| Taras Bulba obraz gain, Arabeskoak narrazio laburren bilduma idatzi zuen, eta, beste obra batean, Kovaliov maiorrak bere gorputzaren parte bat falta duela esnatzen da. ||| Arima Hilak obraren egile hau ezagunagoa da, beharbada, beste obra batengatik, non izenburuaren jantzia galdu eta berehala hiltzen baita Akaky Akakievich kopiagilea. ||| 10 punturengatik, esan zein den ""Sudurra"" eta ""Longaina"" idatzi zituen idazle errusiar hau.",,,,,,,,,,,,,
11358,train,Zipre,Giza_zientziak,Honen jatorrizko biztanleria Amathus erresuma soilik gorde zuten sei kolonia arkadiar sortu ondoren. ||| Litekeena da hau izatea Alashiyako merkataritzagune hitita, eta gerora Tutmosis III.ak eta Sargon II.ak koskistatu egin zutela aldarrikatu zuten. ||| Erdi Aroaren azkenaldian, azukre-kanaberaren plantazioak izan ziren bertan, eta boteretik kendutako Jerusalengo errege-erreginen babesleku izan zen. Errege-erregina horiek Lusignango etxearen  izenarekin agindu zuten bertan eta genoar zein veneziarrekin borrokan jardun zuten. ||| Hamaseigarren mendean otomandarrek menpe hartu zuten, eta 1878.ean itsas base britaniarra izan zen. |||  10 punturengatik, esan zein den antzinako kobre-iturri honen izena, grekoek eta turkiarrek gaur egun ere aldarrikatzen duten Mediterraneoko irla bat da.,,,,,,,
106920,train,Julio Cortazar,Literatura,Los Premios obran, elkarren artean ezagutzen ez duten pertsona batzuk elkartu egiten dituzte misteriozko itsasontzi batean bidaia bat irabazi ostean, Erregeak poemak, berriz, Minotauroaren patua lantzen du.||| Beste lan batean, gizon bat hain denbora luzea ematen du obraren izenburuko izakiei begira, ezen haietako bat bihurtzen baita. ||| Axolotl narrazioa, eta Continuidad de los Parques, non irakurlea istorioak berak hiltzen baitu, Final del Juego bilduman argitaratu ziren. ||| Beste istorio batek Robert Michael argazkilaria du protagonista, Las Babas del Diablo izenburupean argitaratu zen, eta Antonioniren Blow-up filmaren abiapuntua izan zen. ||| Horacio Oliverari buruzko liburu batengatik da batez ere ezaguna gaur egun, Horacio irakurlea testuan atzera eta aurrera eramaten duen La Maga liburu enigmatikoaren bila dabil. ||| 10 punturengatik, esan zein den Rayuela obraren egilea den idazle argentinarra.
212540,train,Rembrandt,Artea,Akuaforte bat lau urratsetan prozesatuz, artista honek lapur ona argitan eta lapur gaiztoa itzalpean jartzen dituen argizko gortina sortzen du, punta lehor motako lan ezagunenetako batean. ||| Flauta jotzaile baten irudi lausotua sartu zuen obra baten hondoan, non pertsonaia nagusiak urrezko kapa ixten duen hamabi puntuko izarra duen brotxe beltza eta turbantearen gaineko koroa bat baititu, eta kaliz bat iraultzen du oharkabean beste zerbaitek txunditu duelako. ||| Hiru Gurutzeak obraren egilearen beste obra batean, esku bat ateratzen da ke-laino batetik paretan hebraierazko letrak seinalatzeko. ||| Autore honen margolan baten izkinan, non Nicolaes Tulp Aris Kindten gorpua aztertzen ari baita, testu-liburu bat irekita ageri da.|||10 punturengatik, esan zein den Baltasarren banketea, Anatomia ikasgaia eta Gaueko erronda margolan erraldoiaren egilea.,,,,
193402,train,Grezia,Historia,PASOK da herrialde honetako azken urteetako alderdi politikoen arteko garrantzitsuenetako bat. ||| XIX. mendeko bigarren zatian Jurgi I.a izen zen herrialde honen monarka. ||| 1967tik 1974ra koronelek gobernatu zuten. ||| Papandreou familiaren kide askok rol garrantzitsua izan dute herrialde honen gobernuetan. ||| 10 punturengatik, esan zein den Zipre irla gertu duen eta Turkiarekin liskar handiak izan dituen herrialde honen izena.,,,,,,,,,,,,
